Brand,Model,Power,Voc,Isc,Vmp,Imp
N/A,A-HCM350/120 M6 Full Black ,350,"42,29","10,69","34,9","10,03"
N/A,A-HCM360/120 M6,360,"40,5","11,35",34,"10,59"
N/A,A-HCM370/120 M6,370,"40,9","11,52","35,02","10,76"
N/A,A-HCM390/144 Full Black ,390,"49,2","10,24","40,16","9,72"
N/A,A-HCM400/108,400,"37,07","13,79","31,08","12,9"
N/A,A-HCM400/144,400,"49,94","10,45","40,36","9,92"
N/A,A-HCM415/108,415,"37,45","14,02","31,61","13,13"
N/A,A-HCM415/144,415,"49,93","10,86","40,71","10,26"
N/A,A-HCM450/144 M6,450,"50,22","11,48","41,4","10,87"
N/A,A-HCM460/144,460,"50,7","11,63","41,8","11,01"
N/A,A-M300/60,300,"39,8","9,97","32,1","9,41"
N/A,A-M320/60,320,"40,43","10,19","33,13","9,66"
N/A,A-M325/60 Full Black ,325,"40,43","10,19","34,13","9,66"
N/A,A-M340/60,340,"41,66","10,48","34,05","9,94"
N/A,A-M360/72,360,"47,1","9,98","38,4","9,43"
N/A,A-P250/60,250,"37,8","8,71","30,7","8,18"
N/A,A-P275/60,275,"39,26","9,2","30,94","8,8"
N/A,A-P285/60,280,"38,32","9,5","31,3","8,96"
N/A,A-P290/60,290,"38,95","9,62","31,7","9,15"
N/A,A-P295/60,295,"39,3","9,9","32,24","9,16"
N/A,A-P320/72,320,"47,59","9,22","38,97","8,37"
N/A,A-PH30060,300,"39,62","9,92","32,69","9,31"
N/A,a-SiR 100,100,"137,6","1,22","103,1","0,97"
N/A,a-SiR 70,70,129,"0,94","92,1","0,76"
N/A,a-SiR 75,75,132,"1,01","94,3","0,8"
N/A,a-SiR 80,80,"134,5","1,06","96,1","0,83"
N/A,a-SiR 85,85,"136,5","1,1","97,7","0,87"
N/A,a-SiR 90,90,"137,2","1,15","99,4","0,91"
N/A,a-SiR 95,95,"137,5","1,2","101,1","0,94"
N/A,a-SiT 70,70,132,"0,92","94,3","0,74"
N/A,a-SiT 75,75,"134,5","0,99","96,1","0,78"
N/A,a-SiT 80,80,"136,5","1,04","97,7","0,82"
N/A,a-SiT 85,85,"137,2","1,08","99,4","0,85"
N/A,a-SiT 90,90,"137,5","1,13","101,1","0,89"
N/A,a-SiT 95,95,"137,6","1,18","103,1","0,92"
N/A,A115P,6,22,"0,45",16,"0,38"
N/A,A11P,4,22,"0,3",16,"0,25"
N/A,A1206P,"1,76",22,"0,13",16,"0,11"
N/A,A13P,12,22,"0,9",16,"0,75"
N/A,A80,80,"136,5","1,08",96,"0,84"
N/A,A85,85,"136,5","1,08",101,"0,85"
N/A,A90,90,137,"1,09",103,"0,87"
N/A,A95,95,138,"1,12",104,"0,91"
N/A,AA-250M,250,"37,62","8,53","31,38","7,96"
N/A,AB1-40,40,"40,3",2,"27,5","1,52"
N/A,AB1-42,"42,5","40,8","2,01","28,4","1,54"
N/A,AB1-45,46,"42,4","2,08","29,9","1,55"
N/A,AB1-47,"47,5","42,9","2,11","30,8","1,59"
N/A,AB1-50,50,43,"2,12","31,4","1,63"
N/A,AB1-52,"52,5","43,2","2,13","31,7","1,69"
N/A,AB1-55,55,"43,4","2,14","32,5","1,72"
N/A,AB1-57,"57,5","43,6","2,14","33,2","1,76"
N/A,AB1-60B,60,"45,2","2,23","33,6","1,8"
N/A,AB1-62B_RevG,"62,5","45,46","2,44","32,53","1,92"
N/A,AB1-65B_RevG,65,"45,73","2,47","32,99","1,97"
N/A,AB1-67B_RevG,"67,5","46,02","2,47","33,58","2,01"
N/A,AB1-70B_RevG,70,"46,31","2,48","34,314","2,04"
N/A,AB1-72B_RevG,"72,5","46,61","2,49","34,856","2,08"
N/A,AB1-75B_RevG,75,"46,9","2,49","35,545","2,11"
N/A,ABA M6-60 black (255),255,"37,99","9,09","30,18","8,45"
N/A,ABA M6-60 black (260),260,"38,16","9,22","30,32","8,58"
N/A,Abound AB1-62,"62,5","45,7","2,24","34,3","1,83"
N/A,Abound AB1-65,65,"46,1","2,26",35,"1,88"
N/A,Abound AB1-67,67,"46,4","2,27","35,6","1,9"
N/A,Abound AB1-70,70,"46,6","2,3","35,9","1,95"
N/A,Abound AB1-72,"72,5","46,9","2,33","36,4",2
N/A,AC-120 P/156-36S,120,"21,84","7,51","17,12","7,04"
N/A,AC-125 P/156-36S,125,22,"7,62","17,42","7,2"
N/A,AC-127 P,127,"33,23","4,9","27,8","4,57"
N/A,AC-130 P/156-36S,130,"22,14","7,82","17,73","7,38"
N/A,AC-135 P/156-36S,135,"22,29","7,96","18,02","7,52"
N/A,AC-135 P/156-40S,135,"23,9","7,61","19,62","6,91"
N/A,AC-140 P/156-36S,140,"22,44","8,12","18,32","7,69"
N/A,AC-140 P/156-40S,140,24,"7,72","19,84","7,1"
N/A,AC-145 P/156-40S,145,24,"7,83","19,97","7,28"
N/A,AC-150 P,150,"27,1","7,23",22,"6,82"
N/A,AC-150 P/156-40S,150,"24,16","8,04","20,18","7,45"
N/A,AC-155 P/156-40S,155,"24,4","8,17","20,34","7,64"
N/A,AC-160 P,160,"21,3","9,5","17,28","9,26"
N/A,AC-165 P/156-48S,165,"28,71","7,58","23,67","7,01"
N/A,AC-167 P,167,"21,75","9,8","18,2","9,2"
N/A,AC-170 P/156-48S,170,"28,8","7,72","23,81","7,17"
N/A,AC-172 P,172,"22,5","9,98","18,4","9,34"
N/A,AC-175 P,175,"22,54","10,14","18,36","9,54"
N/A,AC-175 P/156-48S,175,"28,82","7,83","23,97","7,31"
N/A,AC-178 P,178,22,"10,7","17,82","10,1"
N/A,AC-180 M/125-72S,180,"44,7","5,4","36,62","4,93"
N/A,AC-180 P/156-48S,180,"28,99","8,04","24,21","7,44"
N/A,AC-183 M/125-72S,183,"44,8","5,42","36,75",5
N/A,AC-185 P,185,"24,17","9,8","20,2","9,2"
N/A,AC-185 P/156-48S,185,"29,28","8,17","24,38","7,6"
N/A,AC-187 M/125-72S,187,"44,85","5,45","36,85","5,08"
N/A,AC-190 M/125-72S,190,"44,94","5,48","36,87","5,17"
N/A,AC-190 P,190,"24,2","9,9","20,4","9,3"
N/A,AC-190 P/156-54S,190,"33,09","7,71","26,29","7,24"
N/A,AC-195 P,195,"25,04","10,14","20,45","9,54"
N/A,AC-195 P/156-54S,195,"33,24","7,81","26,67","7,33"
N/A,AC-200 P/156-54S,200,"33,49","7,86","27,12","7,41"
N/A,AC-204 P,204,"36,95","7,23",30,"6,82"
N/A,AC-205 P/156-54S ,205,34,"7,91","27,38","7,5"
N/A,AC-205 P/156-54S,205,34,"7,91","27,38","7,5"
N/A,AC-206 P/156-60S,206,"36,4","7,54","28,8","7,16"
N/A,AC-210 P,210,"34,24","7,96","27,72","7,59"
N/A,AC-210 P/156-54S,210,"34,24","7,96","27,72","7,59"
N/A,AC-212 P/156-60S,212,"36,4","7,76","28,8","7,37"
N/A,AC-215 P/156-54S,215,"34,51","8,04","27,98","7,71"
N/A,AC-218 P/156-60S,218,"36,6","7,92",29,"7,52"
N/A,AC-220 P/156-54S,220,"34,75","8,12","28,24","7,83"
N/A,AC-224 P/156-60S,224,"36,8","8,09","29,2","7,68"
N/A,AC-225 P /156-60S ASIA nicht lieferbar,225,"36,7","8,18","29,9","7,53"
N/A,AC-230 P /156-60S ASIA nicht lieferbar,230,"36,8","8,34",30,"7,67"
N/A,AC-230 P/156-60S nicht lieferbar,230,"36,82","8,28","29,75","7,74"
N/A,AC-235 P /156-60S ASIA nicht lieferbar,235,"36,8","8,44","30,1","7,81"
N/A,AC-236 P/156-60S nicht lieferbar,236,"36,84","8,47","29,95","7,88"
N/A,AC-240 M/156-60S 3BB nicht lieferbar,240,"37,29","8,34","30,81","7,81"
N/A,AC-242 P/156-60S nicht lieferbar,242,"36,85","8,53","29,97","8,08"
N/A,AC-245 M /156-60S ASIA nicht mehr lieferbar,245,"37,73","8,72","29,23","8,4"
N/A,AC-245 M/156-60S 3BB nicht lieferbar,245,"37,35","8,42","30,98","7,91"
N/A,AC-250 M /156-60S ASIA nicht mehr lieferbar,250,"37,98","8,8","29,65","8,47"
N/A,AC-250 M/156-60S 3BB nicht lieferbar,250,"37,43","8,59","31,1","8,09"
N/A,AC-255 M /156-60S ASIA nicht mehr lieferbar,255,"38,13","8,97","30,02","8,54"
N/A,AC-260 P ,260,"24,4","14,3",20,13
N/A,AC-86 P ,86,"21,9","4,9","18,7","4,6"
N/A,Advent 160,160,"42,7","5,37","32,7","4,9"
N/A,Advent 165,165,"42,8","5,52","33,4","4,95"
N/A,Advent 170,170,"42,9","5,66",34,"5,01"
N/A,Advent 175,175,43,"5,76","34,3","5,12"
N/A,Advent 180,180,"43,1","5,9","34,6","5,22"
N/A,AE 270DGM6-60,270,"38,43","9,02","31,15","8,67"
N/A,AE 270M6-60,270,"38,11","9,35","31,1","8,68"
N/A,AE 285SMP6-60,285,"38,93","9,44","32,07","8,89"
N/A,AE 290P6-60,290,"39,14","9,47","32,48","8,93"
N/A,AE 300BMM6-60,300,"39,99","9,92","32,95","9,11"
N/A,AE 305SMM6-60,305,"39,56","9,66","34,01","8,97"
N/A,AE 325MB-60,325,"41,1","10,2","33,6","9,68"
N/A,AE 330P6-72(1500V),330,"45,89","9,37","36,97","8,93"
N/A,AE 335M6-72,335,"46,84","9,43","38,85","8,62"
N/A,AE 345P6-72(1500V),345,"46,62","9,61","37,18","9,28"
N/A,AE 355M6-72,355,"47,3","9,58","39,51","8,99"
N/A,AE 355M6-72(1500V),355,"47,3","9,58","39,51","8,99"
N/A,AE 370M6-72(1500V),370,"47,48","9,69","39,63","9,34"
N/A,AE 395SMB-66F,395,"49,4","10,07","40,9","9,66"
N/A,AE 405BMC-60F,405,"46,5","11,02","38,7","10,47"
N/A,AE 405ME-120BS,405,"41,4","12,34","34,4","11,77"
N/A,AE 455HM6L-60,455,"42,29","13,62","35,38","12,86"
N/A,AE 640ME-132,645,"45,1","18,19",37,"17,3"
N/A,AE 645ME-132,645,"45,3","18,25","37,2","17,34"
N/A,AE 655ME-132BD,655,"45,7","18,38","37,6","17,42"
N/A,AE SMB-66F,390,"49,3","10,03","40,8","9,56"
N/A,AE165P6-36,165,"23,1","9,35","18,7","8,81"
N/A,AE170CMDS-60,170,"42,25","5,5","36,37","4,67"
N/A,AE170P6-36,170,"23,3","9,42","19,2","8,88"
N/A,AE175CMDS-60,175,"42,99","5,54","36,76","4,76"
N/A,AE180CMDS-60,180,"43,73","5,58","37,15","4,84"
N/A,AE190SMB-36,190,"23,19","10,5","19,92","9,54"
N/A,AE195SMB-36,195,"23,6","10,59","20,33","9,59"
N/A,AE200SMB-36,200,"24,03","10,67","20,75","9,64"
N/A,AE250P6-60,250,"37,48","9,11","29,16","8,57"
N/A,AE250SMP6-60,250,"37,48","9,11","29,16","8,57"
N/A,AE255P6-60,255,"37,68","9,15","29,58","8,62"
N/A,AE255SMP6-60,255,"37,68","9,15","29,58","8,62"
N/A,AE260DGP6-60,260,"37,92","8,82","31,08","8,37"
N/A,AE260P6-60,260,"37,89","9,22","29,99","8,67"
N/A,AE260SMP6-60,260,"37,89","9,22","29,99","8,67"
N/A,AE265DGP6-60,265,"38,09","8,95","31,24","8,5"
N/A,AE265P6-60,265,"38,1","9,26","30,41","8,71"
N/A,AE265P6-60(1500V),265,"38,1","9,26","30,41","8,71"
N/A,AE265SMP6-60,265,"38,1","9,26","30,41","8,71"
N/A,AE270CMDS-52,270,"37,49","8,75","32,45","8,32"
N/A,AE270DGP6-60,270,"38,51","9,04","31,51","8,57"
N/A,AE270P6-60,270,"38,31","9,31","30,82","8,76"
N/A,AE270P6-60(1500V),270,"38,31","9,31","30,82","8,76"
N/A,AE270SMM6-60,270,"38,11","9,35","31,1","8,68"
N/A,AE270SMP6-60,270,"38,31","9,31","30,82","8,76"
N/A,AE275CMDS-52,275,"37,96","8,81","32,86","8,37"
N/A,AE275DGM6-60,275,"38,67","9,18","31,58","8,71"
N/A,AE275M6-60,275,"38,32","9,38","31,51","8,73"
N/A,AE275P6-60,275,"38,52","9,35","31,24","8,8"
N/A,AE275P6-60(1500V),275,"38,52","9,35","31,24","8,8"
N/A,AE275SMM6-60,275,"38,32","9,38","31,51","8,73"
N/A,AE275SMP6-60,275,"38,52","9,35","31,24","8,8"
N/A,AE280CMD-72BD,280,"24,95","14,03","21,36","13,11"
N/A,AE280CMDS-52,280,"38,32","8,89","33,23","8,43"
N/A,AE280DGM6-60,280,"39,15","9,28","31,79","8,81"
N/A,AE280M6-60,280,"38,52","9,44","31,93","8,77"
N/A,AE280M6-60(1500V),280,"38,52","9,44","31,93","8,77"
N/A,AE280P6-60,280,"38,72","9,38","31,65","8,85"
N/A,AE280SMM6-60,280,"38,52","9,44","31,93","8,77"
N/A,AE280SMP6-60,280,"38,72","9,38","31,65","8,85"
N/A,AE285CMD-72BD,285,"25,27","14,1","21,62","13,18"
N/A,AE285DGM6-60,285,"39,47","9,37","32,06","8,89"
N/A,AE285M6-60,285,"38,73","9,49","32,34","8,81"
N/A,AE285M6-60(1500V),285,"38,73","9,49","32,34","8,81"
N/A,AE285P6-60,285,"38,93","9,44","32,07","8,89"
N/A,AE285P6-60(1500V),285,"38,93","9,44","32,07","8,89"
N/A,AE285SMM6-60,285,"38,73","9,49","32,34","8,81"
N/A,AE290BMM6-60,290,"39,53","9,52","32,33","8,98"
N/A,AE290CMD-72BD,290,"25,47","14,23","21,76","13,33"
N/A,AE290M6-60,290,"38,94","9,52","32,76","8,85"
N/A,AE290M6-60(1500V),290,"38,94","9,52","32,76","8,85"
N/A,AE290P6-60,290,"39,14","9,47","32,5","8,93"
N/A,AE290SMM6-72,290,"38,94","9,52","32,76","8,85"
N/A,AE295BMM6-60,295,"39,83","9,6","32,63","9,06"
N/A,AE295CMD-72BD,295,"25,66","14,37","21,88","13,48"
N/A,AE295M6-60,295,"39,15","9,57","33,18","8,89"
N/A,AE295M6-60(1500V),295,"39,15","9,57","33,18","8,89"
N/A,AE295SMM6-60,295,"39,15","9,57","33,18","8,89"
N/A,AE300CMD-72BD,300,"25,97","14,44","22,14","13,55"
N/A,AE300M6-60,300,"39,36","9,62","33,59","8,93"
N/A,AE300M6-60(1500V),300,"39,36","9,62","33,59","8,93"
N/A,AE300P6-72,300,"45,23","9,07","36,43","8,23"
N/A,AE300SMM6-60,300,"39,36","9,62","33,59","8,93"
N/A,AE305LM6-60,305,"40,31","9,95",33,"9,4"
N/A,AE305M6-60,305,"39,56","9,66","34,01","8,97"
N/A,AE305M6-60(1500V),305,"39,56","9,66","34,01","8,97"
N/A,AE305P6-72,305,"45,38","9,13","36,51","8,35"
N/A,AE305SMP6-72,305,"45,38","9,13","36,51","8,35"
N/A,AE310LM6-60,310,"40,5","9,92",33,"9,45"
N/A,AE310M6-60,310,"39,77","9,71","34,42","9,01"
N/A,AE310M6-60(1500V),310,"39,77","9,71","34,42","9,01"
N/A,AE310P6-72,310,"45,47","9,17","36,6","8,47"
N/A,AE310SMP6-72,310,"45,47","9,17","36,6","8,47"
N/A,AE315CMD-80BD,315,"27,67","14,23","23,35","13,49"
N/A,AE315LM6-60,315,"40,7","9,92",33,"9,45"
N/A,AE315M6-60,315,"39,98","9,77","34,84","9,04"
N/A,AE315M6-60(1500V),315,"39,98","9,77","34,84","9,04"
N/A,AE315MB-60E,315,"40,7","10,1","33,19","9,5"
N/A,AE315P6-72,315,"45,59","9,24","36,66","8,59"
N/A,AE315P6-72(1500V),315,"45,59","9,24","36,66","8,59"
N/A,AE315SMP6-72,315,"45,59","9,24","36,66","8,59"
N/A,AE320CMD-80BD,320,"27,95","14,31","23,58","13,57"
N/A,AE320LM6-60,320,"40,9","10,15","33,4","9,65"
N/A,AE320M6-60,320,"40,21","9,83","35,19","9,11"
N/A,AE320M6-60(1500V),320,"40,21","9,83","35,19","9,11"
N/A,AE320M6-72,320,"46,43","9,26","38,27","8,36"
N/A,AE320MB-60 ,320,"40,9","10,15","33,4","9,59"
N/A,AE320MB-60 (Full Black),320,"40,9","10,15","33,4","9,59"
N/A,AE320MB-60E,320,"40,9","10,15","33,4","9,59"
N/A,AE320P6-72,320,"45,72","9,28","36,75","8,71"
N/A,AE320P6-72(1500V),320,"45,72","9,28","36,75","8,71"
N/A,AE320SMB-60,320,"40,9","10,15","33,4","9,59"
N/A,AE320SMP6-72,320,"45,72","9,28","36,75","8,71"
N/A,AE325CMD-80BD,325,"28,11","14,45","23,69","13,72"
N/A,AE325DGM6-72,325,"46,26","9,03","37,88","8,58"
N/A,AE325LM6-60,325,"41,1","10,2","33,61","9,7"
N/A,AE325M6-72,325,"46,62","9,34","38,54","8,43"
N/A,AE325MB-60 ,325,"41,1","10,2","33,61","9,68"
N/A,AE325MB-60E,325,"41,1","10,2","33,61","9,68"
N/A,AE325P6-72,325,"45,83","9,33","36,83","8,82"
N/A,AE325P6-72(1500V),325,"45,83","9,33","36,83","8,82"
N/A,AE325SMB-60,325,"41,1","10,2","33,61","9,68"
N/A,AE325SMM6-72,325,"46,62","9,34","38,54","8,43"
N/A,AE325SMP6-72,325,"45,83","9,33","36,83","8,82"
N/A,AE330CMD-80BD,330,"28,37","14,54","23,93","13,79"
N/A,AE330DGM6-72,330,"46,4","9,16","37,98","8,69"
N/A,AE330LM6-60,330,"41,31","10,5","33,81","9,85"
N/A,AE330M6-72,330,"46,74","9,38","38,72","8,52"
N/A,AE330MB-60,330,"41,31","10,37","33,81","9,76"
N/A,AE330MB-60 (Full Black),330,"41,3","10,37","33,8","9,76"
N/A,AE330MB-60E,330,"41,31","10,37","33,81","9,76"
N/A,AE330P6-72,330,"45,89","9,37","36,97","8,93"
N/A,AE330SMB-60,330,"41,31","10,37","33,81","9,76"
N/A,AE330SMM6-72,330,"46,74","9,38","38,72","8,52"
N/A,AE330SMP6-72,330,"45,89","9,37","36,97","8,93"
N/A,AE335CMD-80BD,335,"28,62","14,63","24,16","13,87"
N/A,AE335DGM6-72,335,"46,77","9,27","38,26","8,77"
N/A,AE335LM6-60,335,"41,49","10,49","33,81","9,85"
N/A,AE335MB-120,335,"41,6","10,22","34,4","9,73"
N/A,AE335MB-60,335,"41,49","10,49","34,02","9,85"
N/A,AE335P6-72,335,"45,93","9,41","37,05","9,04"
N/A,AE335P6-72(1500V),335,"45,93","9,14","37,05","9,04"
N/A,AE335SMB-60,335,"41,49","10,49","34,02","9,85"
N/A,AE335SMM6-72,335,"46,84","9,43","38,85","8,62"
N/A,AE340DGM6-72,340,"46,79","9,34","38,37","8,88"
N/A,AE340M6-72,340,"46,94","9,48","39,09","8,7"
N/A,AE340M6-72(1500V),340,"46,94","9,48","39,09","8,7"
N/A,AE340MB-120,340,"41,9","10,3","34,7","9,8"
N/A,AE340P6-72,340,"45,97","9,44","37,09","9,17"
N/A,AE340P6-72(1500V),340,"45,97","9,44","37,09","9,17"
N/A,AE340SMM6-72,340,"46,94","9,48","39,09","8,7"
N/A,AE345DGM6-72,345,"47,24","9,36","38,73","8,91"
N/A,AE345M6-72,345,"47,08","9,51","39,34","8,77"
N/A,AE345M6-72(1500V),345,"47,08","9,51","39,34","8,77"
N/A,AE345MB-120,345,"42,2","10,38",35,"9,87"
N/A,AE345P6-72,345,"46,62","9,61","37,18","9,28"
N/A,AE345SMM6-72,345,"47,08","9,51","39,34","8,77"
N/A,AE350DGM6-72,350,"47,66","9,49","39,11","8,97"
N/A,AE350M6-72,350,"47,14","9,55","39,46","8,87"
N/A,AE350M6-72(1500V),350,"47,14","9,55","39,46","8,87"
N/A,AE355DGM6-72,355,"47,85","9,53","39,47",9
N/A,AE360DGM6-72,360,"47,99","9,64","39,65","9,08"
N/A,AE360M6-72,360,"47,38","9,62","39,55","9,1"
N/A,AE360M6-72(1500V),360,"47,38","9,62","39,55","9,1"
N/A,AE360MC-120,360,"40,9","11,4",34,"10,59"
N/A,AE360MC-120BD,360,"40,9","11,4",34,"10,59"
N/A,AE360MC-120BS,360,"40,9","11,4",34,"10,59"
N/A,AE360MC-120E,360,"40,9","11,4",34,"10,59"
N/A,AE365M6-72,365,"47,42","9,65","39,58","9,22"
N/A,AE365M6-72(1500V),365,"47,42","9,56","39,58","9,22"
N/A,AE365MC-120,365,"41,1","11,5","34,2","10,67"
N/A,AE365MC-120BD,365,"41,1","11,5","34,2","10,67"
N/A,AE365MC-120BS,365,"41,1","11,5","34,2","10,67"
N/A,AE365MC-120E,365,"41,1","11,5","34,2","10,67"
N/A,AE370LM6-72,370,"48,51","9,61","39,9","9,28"
N/A,AE370M6-72,370,"47,48","9,69","39,63","9,34"
N/A,AE370MC-120,370,"41,3","11,6","34,4","10,76"
N/A,AE370MC-120BD,370,"41,3","11,6","34,4","10,76"
N/A,AE370MC-120BS,370,"41,3","11,6","34,4","10,76"
N/A,AE370MC-120E,370,"41,3","11,6","34,4","10,76"
N/A,AE375CMD-96BD,375,"33,01","14,2","28,24","13,28"
N/A,AE375LM6-72,375,"48,72","9,68","40,2","9,33"
N/A,AE375M6-72,375,"47,53","9,75","39,66","9,46"
N/A,AE375M6-72(1500V),375,"47,53","9,75","39,66","9,46"
N/A,AE375MC-120,375,"41,5","11,7","34,6","10,84"
N/A,AE375MC-120BD,375,"41,5","11,7","34,6","10,84"
N/A,AE375MC-120BS,375,"41,5","11,7","34,6","10,84"
N/A,AE375MC-120E,375,"41,5","11,7","34,6","10,84"
N/A,AE380CMD-96BD,380,"33,31","14,26","28,49","13,34"
N/A,AE380LM6-72,380,"48,9","9,75","40,5","9,39"
N/A,AE380M6-72,380,"47,59","9,82","39,71","9,57"
N/A,AE380M6-72(1500V),380,"47,59","9,82","39,71","9,57"
N/A,AE380M6-72(DGL1500V),380,"48,9","9,75","40,5","9,39"
N/A,AE380MB-72E,380,"48,9","9,72","40,5","9,39"
N/A,AE380MC-120,380,"41,7","11,8","34,8","10,92"
N/A,AE380MC-120BD,380,"41,7","11,8","34,8","10,92"
N/A,AE380MC-120BS,380,"41,7","11,8","34,8","10,92"
N/A,AE380MC-120E,380,"41,7","11,8","34,8","10,92"
N/A,AE385CMD-96BD,385,"33,42","14,4","28,54","13,49"
N/A,AE385LM6-72,385,"49,1","9,92","40,8","9,44"
N/A,AE385M6-72,385,"47,81","9,95","39,73","9,69"
N/A,AE385M6-72(1500V),385,"47,81","9,95","39,73","9,69"
N/A,AE385M6-72(DGL1500V),385,"49,1","9,92","40,8","9,44"
N/A,AE385MB-72,385,"49,1","9,92","40,8","9,44"
N/A,AE385MB-72 (Full Black),385,49,"9,92","40,8","9,44"
N/A,AE385MB-72E,385,"49,1","9,92","40,8","9,44"
N/A,AE385SMB-66E,385,"49,3","9,98","40,8","9,44"
N/A,AE390CMD-96BD,390,"33,69","14,47","28,76","13,56"
N/A,AE390LM6-72,390,"49,3","10,1","41,1","9,52"
N/A,AE390MB-72,390,"49,3","10,12","41,1","9,49"
N/A,AE390MB-72 (Full Black),390,"49,3","10,12","41,1","9,49"
N/A,AE390MB-72E,390,"49,3","10,12","41,1","9,49"
N/A,AE390ME-T120,390,"40,8","12,14","33,8","11,54"
N/A,AE390ME-T120BD,390,"40,8","12,14","33,8","11,54"
N/A,AE390ME-T120BS,390,"40,8","12,14","33,8","11,54"
N/A,AE390SMB-66E,390,"49,3","10,03","40,8","9,56"
N/A,AE390SMB-66F,390,"49,3","10,03","40,8","9,56"
N/A,AE395BMC-60E,395,"46,3","10,92","38,5","10,26"
N/A,AE395BMC-66F,395,"46,3","10,92","38,5","10,26"
N/A,AE395CMD-96BD,395,"33,8","14,61","28,85","13,69"
N/A,AE395LM6-72,395,"49,48","10,1","41,4","9,54"
N/A,AE395MB-72,395,"49,48","10,5","41,4","9,54"
N/A,AE395MB-72 (Full Black),395,"49,5","10,5","41,4","9,54"
N/A,AE395MB-72E,395,"49,48","10,5","41,4","9,54"
N/A,AE395MD-108,395,"37,36","13,47","31,08","12,71"
N/A,AE395MD-108BD,395,"37,36","13,47","31,08","12,71"
N/A,AE395MD-108BS,395,"37,36","13,47","31,08","12,71"
N/A,AE395MD-108E,395,"37,36","13,47","31,08","12,71"
N/A,AE395ME-T120,395,41,"12,21",34,"11,62"
N/A,AE395ME-T120BD,395,41,"12,21",34,"11,62"
N/A,AE395ME-T120BS,395,41,"12,21",34,"11,62"
N/A,AE395SMB-66E,395,"49,4","10,07","40,9","9,66"
N/A,AE395SMB-66F,395,"49,4","10,07","40,9","9,66"
N/A,AE395SMD-108E,395,"37,36","13,47","31,08","12,71"
N/A,AE400BMC-60E,400,"46,4","10,97","38,6","10,36"
N/A,AE400BMC-66F,400,"46,4","10,97","38,6","10,36"
N/A,AE400LM6-72,400,"49,69","10,1","41,71","9,59"
N/A,AE400MB-72,400,"49,69","10,59","41,71","9,59"
N/A,AE400MD-108,400,"37,69","13,52","31,35","12,76"
N/A,AE400MD-108BD,400,"37,69","13,52","31,35","12,76"
N/A,AE400MD-108BS,400,"37,69","13,52","31,35","12,76"
N/A,AE400MD-108E,400,"37,69","13,52","31,35","12,76"
N/A,AE400ME-T120,400,"41,2","12,28","34,2","11,7"
N/A,AE400ME-T120BD,400,"41,2","12,28","34,2","11,7"
N/A,AE400ME-T120BS,400,"41,2","12,28","34,2","11,7"
N/A,AE400SMB-66F,400,"49,5","10,12",41,"9,76"
N/A,AE400SMD-108E,400,"37,69","13,52","31,35","12,76"
N/A,AE405BMC-60E,405,"46,5","11,02","38,7","10,47"
N/A,AE405BMC-60F,405,"46,5","11,02","38,7","10,47"
N/A,AE405MB-144,405,"49,5","10,31","41,6","9,74"
N/A,AE405MD-108,405,"38,02","13,57","31,62","12,81"
N/A,AE405MD-108BD,405,"38,02","13,57","31,62","12,81"
N/A,AE405MD-108BS,405,"38,02","13,57","31,62","12,81"
N/A,AE405MD-108E,405,"38,02","13,57","31,62","12,81"
N/A,AE405ME-T120,405,"41,4","12,34","34,4","11,77"
N/A,AE405ME-T120BD,405,"41,4","12,34","34,4","11,77"
N/A,AE405SMB-66E,405,"49,8","10,16","41,1","9,85"
N/A,AE405SMB-66F,405,"49,8","10,16","41,1","9,85"
N/A,AE405SMD-108E,405,"38,02","13,57","31,62","12,81"
N/A,AE410BMC-60E,410,"46,6","11,07","38,8","10,57"
N/A,AE410BMC-60F,410,"46,6","11,07","38,8","10,57"
N/A,AE410CMD-108,410,"37,45","13,88","31,59","12,98"
N/A,AE410CMD-108BDS,410,"37,45","13,88","31,59","12,98"
N/A,AE410CMD-108E,410,"37,45","13,88","31,59","12,98"
N/A,AE410MB-144,410,"49,8","10,38","41,9","9,8"
N/A,AE410MD-108,410,"38,35","13,62","31,88","12,86"
N/A,AE410MD-108BD,410,"38,35","13,62","31,88","12,86"
N/A,AE410MD-108BS,410,"38,35","13,62","31,88","12,86"
N/A,AE410MD-108E,410,"38,35","13,62","31,88","12,86"
N/A,AE410SMD-108E,410,"38,35","13,62","31,88","12,86"
N/A,AE415BMC-60E,415,"46,7","11,12","38,9","10,67"
N/A,AE415BMC-60F,415,"46,7","11,12","38,9","10,67"
N/A,AE415CMD-108,415,"37,67","13,95","31,81","13,05"
N/A,AE415CMD-108BDE,415,"37,86","13,7","32,04","12,95"
N/A,AE415CMD-108BDS,415,"37,67","13,95","31,81","13,05"
N/A,AE415CMD-108E,415,"37,86","13,7","32,04","12,95"
N/A,AE415MB-144,415,"50,5","10,44","42,1","9,86"
N/A,AE415MD-108,415,"38,67","13,67","32,12","12,92"
N/A,AE415MD-108BD,415,"38,67","13,67","32,12","12,92"
N/A,AE415MD-108BS,415,"38,67","13,67","32,12","12,92"
N/A,AE415MD-108E,415,"38,67","13,67","32,12","12,92"
N/A,AE420CMD-108,420,"37,86","14,03","32,04","13,11"
N/A,AE420CMD-108BDE,420,"38,08","13,79","32,25","13,02"
N/A,AE420CMD-108BDS,420,"37,86","14,03","32,04","13,11"
